sample,steps,parameters,fidelities,step_sizes
1,0,"[-0.06065010360191758, 0.550208166857042, 0.8986855460243763, -0.9328937045939651, -0.524955514563096, -0.043495189004089996, 0.3085348467074074, -0.8845551320341938, 0.15524092529671352, 0.3959853650600864, -0.22869299429573609, -0.4521087774312731, 0.8210042251835812, 0.717262521688101, -0.8654621070838806, 0.5043890466800147, 0.7674119909013362, -0.7949058528048538, 0.6093655563772888, 0.5271338509456984, 0.0, -0.0, -0.0, -0.5084623725273234, 0.0, 0.0, -0.0, -0.3643884777245776, 0.0, 0.0, -0.0, -0.8890420365915503, 0.15090130599505236, 0.4842947283553012, 0.40004294211082203, 0.9645191246684579, -0.0, 0.0, 0.0, 0.703788153834453, -0.0, -0.0, 0.0, -0.002498478265029025, 0.0, -0.0, -0.0, -0.6285745686016104, -0.8879017679928964, 0.3285400650561532, -0.10031085225272984, -0.23751388568307208, -0.0, -0.0, 0.0, 0.9809944904300458, -0.0, -0.0, -0.0, 0.5015722240593363, 0.0, -0.0, -0.0]",0.192929161220111,0.0
1,1,"[0.17972256867227734, 0.12972260038775152, 0.5002082948488604, -0.4887191897541707, -0.8292139462405466, 0.6060970289618487, -0.1860219667300067, -0.965441899675131, 0.7485278718363939, 0.3877988147283865, -0.07728933468871474, -0.035457205218923704, 0.9167499856572224, 0.4271512207147735, -1.052928730261515, 0.6478685631912176, 0.5857088231756724, -1.193210176708481, 0.7651268620640846, 0.705661571587793, 0.0, -0.0, -0.0, -0.8083135361590028, 0.0, 0.0, -0.0, -0.42396151718471, 0.0, 0.0, -0.0, -1.0589974100913255, 0.30533160151255767, 0.8497034471960219, 0.5386476039117605, 1.0920209789421882, -0.0, 0.0, 0.0, 1.098328187214759, -0.0, -0.0, 0.0, -0.3903992216460003, 0.0, -0.0, -0.0, -0.8032545390741708, -0.4588500153744516, 0.41655144009351874, 0.3556137239824341, -0.011495705984800791, -0.0, -0.0, 0.0, 1.3176729514395138, -0.0, -0.0, -0.0, 0.35032796283623663, 0.0, -0.0, -0.0]",0.5033795239519275,-0.5252010142854875
1,2,"[-0.06251313187959254, -0.2336251514465329, 0.3245723368292195, -0.2006193889937546, -1.2770267092909173, 0.8642940367893945, -0.4697562675827793, -0.7682010468204103, 0.7155678444834948, 0.3619527169250725, -0.12609649596924877, -0.04396417846401899, 0.578642167897107, 0.5975289449265171, -0.7263412323556552, 0.5880516782255366, 0.6348960566540489, -1.0546655697296088, 0.7854096607311625, 0.9725814912183721, 0.0, -0.0, -0.0, -0.764520379926154, 0.0, 0.0, -0.0, -0.10162907307928898, 0.0, 0.0, -0.0, -1.1608607990769073, 0.10231665435342244, 1.0663457469048436, 0.5826079974339343, 0.8852827244761861, -0.0, 0.0, 0.0, 1.0158171698355813, -0.0, -0.0, 0.0, -0.7022469885636347, 0.0, -0.0, -0.0, -1.1361597266180787, -0.25753714165012154, -0.09267008678909983, 0.39907397373350223, 0.09059857229015714, -0.0, -0.0, 0.0, 1.4890529733356335, -0.0, -0.0, -0.0, 0.23083452422439704, 0.0, -0.0, -0.0]",0.6627174273554636,-0.5152225471360431
1,3,"[-0.179432851444637, -0.3192394640915903, 0.3268225265887766, -0.2654678521063242, -1.4463781004977865, 1.0017694256251242, -0.8029145119141587, -0.7020038420480311, 0.7402588005190194, 0.3502496380255943, 0.02345327241706391, -0.2137571957384234, 0.11432631337737686, 0.47085562015750726, -0.48092095729391393, 0.4582574833741443, 0.7458369654828034, -1.0545780588538636, 0.849826981279842, 0.9595512073568824, 0.0, -0.0, -0.0, -0.523554725465321, 0.0, 0.0, -0.0, 0.1405687263948046, 0.0, 0.0, -0.0, -1.1818208858951273, 0.1534535881094724, 1.0409138634251225, 0.6004113222862443, 0.9510067069930181, -0.0, 0.0, 0.0, 0.37278741014834826, -0.0, -0.0, 0.0, -0.5961086541235107, 0.0, -0.0, -0.0, -1.5092480892158198, -0.17481079165935784, 0.15026596386182248, 0.41969574565051804, 0.33197718009596244, -0.0, -0.0, 0.0, 1.574585291185103, -0.0, -0.0, -0.0, -0.1944935931422037, 0.0, -0.0, -0.0]",0.7458177867481658,-0.35088965166943226
1,4,"[-0.2693928080936096, -0.44564456985913264, 0.32222646254919857, -0.18511196312163025, -1.5824176616961796, 1.0627707195722629, -0.759008071207796, -0.628703498881573, 0.7029821482200622, 0.40542808005971087, 0.1332773529272872, -0.42291392560804136, -0.21718821506010488, 0.5019860699782634, -0.3944024650663713, 0.3493856488745327, 0.7724620984726718, -0.8629269254470388, 0.6262884493610117, 0.9793227473289852, 0.0, -0.0, -0.0, -0.2554067482548734, 0.0, 0.0, -0.0, 0.3545919900898439, 0.0, 0.0, -0.0, -1.0309548312482781, 0.2301402241832917, 0.8685082383646981, 0.41301004090806503, 0.7382712430547843, -0.0, 0.0, 0.0, -0.20770396268182734, -0.0, -0.0, 0.0, -0.4567708823012214, 0.0, -0.0, -0.0, -2.005964575397032, -0.013020800243186914, 0.398001242625999, 0.45192666780007174, 0.5718444052611551, -0.0, -0.0, 0.0, 1.4021554211012142, -0.0, -0.0, -0.0, -0.5538481502903585, 0.0, -0.0, -0.0]",0.8271846420954098,-0.41674891435907346
1,5,"[-0.29784600860206917, -0.5369617564698653, 0.3609437160134254, -0.05368090556557825, -1.6682782249109902, 0.8510046327289681, -0.5745997844790716, -0.6280961798347611, 0.6751099764997138, 0.5737054987774602, 0.10805506697798742, -0.6166272528902303, -0.43278513001859575, 0.4133158906716192, -0.2814745531576215, 0.2425840796802506, 0.7658910290414327, -0.5751237333898924, 0.32014323365697256, 0.9046255982151994, 0.0, -0.0, -0.0, -0.04308633331500364, 0.0, 0.0, -0.0, 0.42699130678114283, 0.0, 0.0, -0.0, -0.6191570005707194, 0.3224183764286904, 0.613472750813091, 0.26498177817575963, 0.3987537256285556, -0.0, 0.0, 0.0, -0.5718011339737072, -0.0, -0.0, 0.0, -0.23668911793182854, 0.0, -0.0, -0.0, -2.419446916961113, -0.009574657880665038, 0.641064831946024, 0.4858557464816954, 0.6437262206369032, -0.0, -0.0, 0.0, 1.084790300012748, -0.0, -0.0, -0.0, -0.7858815738971825, 0.0, -0.0, -0.0]",0.9080339120663327,-0.5903083872784143
1,6,"[-0.25977334366039184, -0.6506626804807112, 0.3458106937246131, 0.09762734095960685, -1.6407809623711742, 0.5516925874249203, -0.41706280683279157, -0.604934862386355, 0.608419295304604, 0.753987324463713, 0.14896264684907415, -0.8211073005724243, -0.4770274414531956, 0.24954606898031373, -0.13078922538044171, 0.022098844504677223, 0.6218499072914295, -0.2732868097132517, 0.10766731531483167, 0.8332746821659469, 0.0, -0.0, -0.0, 0.06929029372182013, 0.0, 0.0, -0.0, 0.30159640135518617, 0.0, 0.0, -0.0, -0.03775611532566969, 0.3786598345418253, 0.31255787572744437, 0.11915379585930255, 0.12259036641263626, -0.0, 0.0, 0.0, -0.6854955843938392, -0.0, -0.0, 0.0, -0.018961492392064933, 0.0, -0.0, -0.0, -2.540477272009476, -0.017315645326399946, 0.7228826147586637, 0.5340958252524504, 0.4652628022686234, -0.0, -0.0, 0.0, 0.7552278322035737, -0.0, -0.0, -0.0, -0.8583135702512315, 0.0, -0.0, -0.0]",0.9813480301256783,-1.0696911896017567
1,7,"[-0.24533622752659728, -0.6475640240163737, 0.25585215406128214, 0.11779868591823903, -1.5561147423819874, 0.5990240653716503, -0.37770761131574915, -0.597158757695441, 0.6453836561862589, 0.6955796989412063, 0.15265318816566167, -0.9905338593158817, -0.41567591101498325, 0.23801000310678916, -0.1012971433399288, 0.02125072815981932, 0.503530155996607, -0.22311181716430792, 0.07502429295617086, 0.762711875527027, 0.0, -0.0, -0.0, 0.060644766372129726, 0.0, 0.0, -0.0, 0.2556422584588066, 0.0, 0.0, -0.0, -0.03881574845132712, 0.30037555384370856, 0.20695197601026966, 0.10138801938960126, 0.09384414078928863, -0.0, 0.0, 0.0, -0.6788675765553626, -0.0, -0.0, 0.0, -0.03591963600138995, 0.0, -0.0, -0.0, -2.6014181899191673, 0.05026460659572308, 0.7032553310567349, 0.4057897747519893, 0.5078441764271109, -0.0, -0.0, 0.0, 0.748311251821873, -0.0, -0.0, -0.0, -1.0151162938834417, 0.0, -0.0, -0.0]",0.984709962410212,-0.20238169746256277
1,8,"[-0.24478780963003907, -0.6481330394655949, 0.18773203620552242, 0.15520890358724948, -1.424310469069501, 0.6224662901333181, -0.36352954938704884, -0.5867991808352647, 0.6526950379962273, 0.6325597474455511, 0.16806640064145514, -1.1695694212500372, -0.38079278087713697, 0.2289228759634001, -0.08788937365676891, 0.018076950781742686, 0.3360038640871572, -0.15821487526917705, 0.04961108685558381, 0.5889820713382052, 0.0, -0.0, -0.0, 0.049062636594829165, 0.0, 0.0, -0.0, 0.19610287072781843, 0.0, 0.0, -0.0, -0.03505899304972738, 0.20030243216135052, 0.11211988176236465, 0.08331289369625507, 0.060286266585512, -0.0, 0.0, 0.0, -0.5659345088642793, -0.0, -0.0, 0.0, -0.038629214097994184, 0.0, -0.0, -0.0, -2.6961238736784385, 0.08978721749609539, 0.6775655248090395, 0.3254035997692828, 0.5467119737910006, -0.0, -0.0, 0.0, 0.7357184987283939, -0.0, -0.0, -0.0, -1.1253459045105096, 0.0, -0.0, -0.0]",0.9890859967429461,-0.31842959959295886
1,9,"[-0.24912334686720974, -0.6544440758003959, 0.1380915355715696, 0.19731027597956374, -1.3030544805946098, 0.6299600014509281, -0.35610923271164385, -0.5643362279204308, 0.6432774855392018, 0.5826069514360189, 0.2003448043907789, -1.3143753954932182, -0.35884355711863536, 0.23228496961344414, -0.08459582544168442, 0.010958880747790839, 0.1589230825783578, -0.08435523137030129, 0.0255776502038853, 0.3259158530652591, 0.0, -0.0, -0.0, 0.028054870285733596, 0.0, 0.0, -0.0, 0.1139220488038738, 0.0, 0.0, -0.0, -0.02299185136413022, 0.0959713428521364, 0.043797826684316254, 0.05416228705991785, 0.031309505883747826, -0.0, 0.0, 0.0, -0.33206052716488565, -0.0, -0.0, 0.0, -0.030717819181195927, 0.0, -0.0, -0.0, -2.77663348420855, 0.1088780761351205, 0.6493958477156566, 0.30662588679903025, 0.5718966402502735, -0.0, -0.0, 0.0, 0.7336666007268949, -0.0, -0.0, -0.0, -1.1580634548416726, 0.0, -0.0, -0.0]",0.9942807136986395,-0.5179218805073951
