sample,steps,parameters,fidelities,step_sizes
1,0,"[0.9493008389380782, 0.779984902970843, -0.1224671368306145, 0.6849348991833897, 0.26208053745013893, -0.6478558891688637, -0.8098899841580749, -0.5673644010143679, -0.7645539499339549, -0.9766822777788351, 0.4643280527894864, -0.36371324567542684, -0.8945557195333871, -0.8736215989434364, 0.13570301965046316, -0.8960693697586066, -0.23674462032610744, 0.09097061970466114, 0.122404585573608, -0.6025392304390835, 0.0, -0.0, -0.0, 0.920694666402837, 0.0, -0.0, 0.0, -0.9732441519726238, 0.0, -0.0, 0.0, -0.5779791474782807, -0.24035070647235623, -0.15882080635345286, -0.45747099444236294, 0.32347168784559766, -0.0, -0.0, -0.0, -0.0884449844133357, -0.0, 0.0, -0.0, 0.4251634380775784, -0.0, -0.0, -0.0, -0.3662772180084515, 0.697580907347265, -0.42640046706223056, -0.3690952838705712, -0.7197437908054871, -0.0, 0.0, -0.0, -0.43578284300813186, 0.0, -0.0, 0.0, -0.6125794693497981, -0.0, -0.0, -0.0]",0.099311221957308,0.0
1,1,"[0.7310569976540607, 0.670828248200303, -0.311535937300664, 0.024297485316082, 0.23319436902488294, -1.1926370375139617, -0.813847649579705, -0.81768716553248, -0.3648965496066894, -1.0922190594984995, 0.5540698161047872, -0.7826997482710347, -0.5140883312832067, -0.6045003365137241, 0.24660815415119597, -0.713557142908803, -0.7758908370971186, 0.6810473123047347, -0.18759619792630872, -0.5590924995998041, 0.0, 0.0, 0.0, 1.5750916329886802, 0.0, 0.0, 0.0, -0.12989488966826046, 0.0, 0.0, 0.0, -0.7124129618255635, 0.12342145956880402, -0.1997839986111956, -0.7100136939646154, 0.24787219069322022, 0.0, 0.0, 0.0, 0.16094797176026918, 0.0, 0.0, 0.0, 0.21106963382705754, 0.0, 0.0, 0.0, -0.15874321689783316, 1.232918839674479, -1.2027631234837566, -0.28981982796112205, -1.1771306456469368, 0.0, 0.0, 0.0, -1.162595358661335, 0.0, 0.0, 0.0, 0.00629990242938927, 0.0, 0.0, 0.0]",0.5218367263581927,-0.6874553271357569
1,2,"[0.6540287358321337, 0.647886020692945, -0.3622567198250466, -0.10811995835889601, 0.3087110610448134, -1.1093428558110439, -0.41032036048093223, -0.8070664321291514, -0.1643577159818274, -1.1904654079568011, 0.5186312145321885, -0.6448706987422334, -0.1858916250287831, -0.1043475781108314, 0.35720111732474835, -0.6218844995209517, -0.8647635074288775, 0.5510048855342469, -0.13265861515792687, -0.2909008793680754, 0.0, 0.0, 0.0, 1.4763381053892681, 0.0, 0.0, 0.0, 0.051617043582605965, 0.0, 0.0, 0.0, -0.5610405138786484, -0.026460764201716502, 0.16501361773972167, -0.6015330104965072, 0.4608589328797129, 0.0, 0.0, 0.0, 0.47312439763897307, 0.0, 0.0, 0.0, 0.20373331735882683, 0.0, 0.0, 0.0, -0.01718625894899875, 1.8269951259288448, -1.1310890903720192, -0.07200921671866667, -1.1115895183165034, 0.0, 0.0, 0.0, -1.7299140110947322, 0.0, 0.0, 0.0, 0.6328641525770052, 0.0, 0.0, 0.0]",0.6535077496425921,-0.3984613348116466
1,3,"[0.6438819210303083, 0.7118080788269784, -0.4725383227639737, -0.18513839173879965, 0.22981232947927682, -0.8300583525483888, 0.009785025091106236, -0.76490329060785, -0.012492321544101376, -1.2457433961386093, 0.44810112001649227, -0.4406691479114617, 0.2531558075819491, 0.3648855858921031, 0.1494401253539819, -0.5224381659530054, -0.8620721834909096, 0.3996626243460259, -0.11293050706921755, 0.08608414102204676, 0.0, 0.0, 0.0, 1.286164104357268, 0.0, 0.0, 0.0, -0.12668837627988644, 0.0, 0.0, 0.0, -0.3916873769110819, -0.21704147071269395, 0.3480380415453877, -0.5599670299695645, 0.614783008903601, 0.0, 0.0, 0.0, 0.5761262550870063, 0.0, 0.0, 0.0, 0.07208724831665081, 0.0, 0.0, 0.0, 0.07464772493666261, 2.105738407788093, -0.8497282933876479, -0.056449406123839155, -0.9751787387903508, 0.0, 0.0, 0.0, -1.9094946779633968, 0.0, 0.0, 0.0, 1.0625945648499904, 0.0, 0.0, 0.0]",0.7450049330604412,-0.4011799579343556
1,4,"[0.6481253426053986, 0.8075973824264083, -0.5562400732686579, -0.2599535995890427, 0.24418845405964548, -0.5557135051336095, 0.37365126054032344, -0.7123157965327407, 0.20745620998777223, -1.2461921350517262, 0.31655076546820304, -0.317864989829824, 0.7262369200595951, 0.7770729972368864, -0.1875725635812541, -0.3811017104274411, -0.6395422302704984, 0.28719699422161465, -0.10808734857275795, 0.29666892035474546, 0.0, 0.0, 0.0, 0.94419370003558, 0.0, 0.0, 0.0, -0.3044615592962767, 0.0, 0.0, 0.0, -0.2756672912823519, -0.2446042787678934, 0.3315421514339286, -0.28135868555938076, 0.4022048165021911, 0.0, 0.0, 0.0, 0.4832938143195442, 0.0, 0.0, 0.0, -0.13052656320079195, 0.0, 0.0, 0.0, 0.18685905620104903, 2.198795425886098, -0.6176791337766915, -0.12271474276581541, -0.9113570500807637, 0.0, 0.0, 0.0, -1.8951388511672458, 0.0, 0.0, 0.0, 1.3690012765014352, 0.0, 0.0, 0.0]",0.8375206396062227,-0.4582857795700109
1,5,"[0.6405840517215656, 0.9449900148676185, -0.5860496690033526, -0.2720587343393196, 0.3961824892899358, -0.33666112068122067, 0.6030713468234811, -0.745654801413076, 0.5056516582770565, -1.015917306396973, -0.016717334556804853, -0.33709270863267793, 0.8675677075659181, 1.176381012183634, -0.4041095134387036, -0.21922364983358214, -0.3689627750227701, 0.10883523644614373, 0.01781133894610093, 0.24625208660085424, 0.0, 0.0, 0.0, 0.4599930609302564, 0.0, 0.0, 0.0, -0.3108989792930505, 0.0, 0.0, 0.0, -0.1353657944684816, -0.1669065813954211, 0.09667802662817049, -0.03651815570315012, 0.11739245364755385, 0.0, 0.0, 0.0, 0.2123838558598885, 0.0, 0.0, 0.0, -0.15174924398340225, 0.0, 0.0, 0.0, 0.33671595367379986, 2.1343698280959784, -0.46933769077768106, -0.17155641595109972, -0.8560210680621175, 0.0, 0.0, 0.0, -1.7859009345976808, 0.0, 0.0, 0.0, 1.612189644109291, 0.0, 0.0, 0.0]",0.9219111557053988,-0.5733741584313555
1,6,"[0.702493086602689, 1.0719755384343732, -0.59725132476116, -0.29766852639278574, 0.4610589184633244, -0.15757914076180182, 0.6527019324462253, -0.8324791223134937, 0.6676177783528634, -0.6020081440126899, -0.21026308926714782, -0.3724978601417721, 0.7349763032821719, 1.37812824427036, -0.4638748569966166, -0.034637861850916996, -0.011921027287227104, -0.0369966028867349, 0.00814297288088472, 0.010521739039334344, 0.0, 0.0, 0.0, -0.018001394355916356, 0.0, 0.0, 0.0, -0.07879196908723957, 0.0, 0.0, 0.0, -0.0113310374550801, -0.009554277866209798, -0.03047535772654661, 0.03831869882145329, -0.031493544363638964, 0.0, 0.0, 0.0, -0.003402664100188274, 0.0, 0.0, 0.0, -0.038386732168111296, 0.0, 0.0, 0.0, 0.42038761347150233, 1.9406797128136775, -0.23260802476983247, -0.1606896442180397, -0.7459019838751118, 0.0, 0.0, 0.0, -1.477017695180091, 0.0, 0.0, 0.0, 1.7146058022580153, 0.0, 0.0, 0.0]",0.9909435760301456,-1.068205624978685
1,7,"[0.6976683776652012, 1.075161473008025, -0.5986216123202758, -0.3034211934621468, 0.42627233346072996, -0.17399276220519905, 0.6071655343775034, -0.8336908496650577, 0.6166609240661403, -0.6103525596155044, -0.17034776382736264, -0.3621202345517734, 0.7193297431319903, 1.3017038570486021, -0.44350504637516436, -0.001261502560580309, -0.002203537500658251, 0.0023189429705140346, -0.00213500596063315, 0.003075833479449842, 0.0, 0.0, 0.0, 0.002958935374184294, 0.0, 0.0, 0.0, -0.0005705067086918814, 0.0, 0.0, 0.0, -0.000316634944952706, -0.00034522184089272497, 0.00294847262277987, 0.0009189082579436764, -0.001143566208059766, 0.0, 0.0, 0.0, 0.0024218715299061727, 0.0, 0.0, 0.0, -0.00020790881090002045, 0.0, 0.0, 0.0, 0.3925940718306123, 1.8978028804275224, -0.2289111423278269, -0.1548835852570413, -0.7308278788556772, 0.0, 0.0, 0.0, -1.4541903488186319, 0.0, 0.0, 0.0, 1.6506827452050925, 0.0, 0.0, 0.0]",0.9999914787661816,-1.0085905531484525
2,0,"[-0.9438152425979258, 0.1796076793097363, 0.9301283219419032, -0.2041805129165284, -0.5680973224191928, 0.7937784766558098, -0.5952864185294668, -0.8074351084457458, -0.5256583709849345, 0.23471629091290946, 0.76278750764329, 0.7577054892562634, -0.29383028475431616, -0.6475519316972134, -0.59314775589023, -0.03863661794362905, 0.0399410590612046, -0.535391146781041, 0.404495480290471, 0.12227858834197947, -0.0, -0.0, -0.0, -0.18832779993053061, 0.0, 0.0, 0.0, -0.1915891825819187, -0.0, 0.0, -0.0, -0.7713958681767301, 0.8407530117222941, 0.6698803925474623, -0.7565206076748432, 0.7751507580068229, 0.0, 0.0, -0.0, 0.8693585519448501, 0.0, -0.0, 0.0, -0.9484818944308677, 0.0, -0.0, 0.0, 0.22327777216977696, 0.059769541337127974, -0.8496467692762868, -0.5794077892834841, 0.7085892324542231, 0.0, 0.0, 0.0, 0.8011374480067304, -0.0, 0.0, 0.0, -0.9747272928920405, 0.0, -0.0, 0.0]",0.0952985273909546,0.0
2,1,"[-1.461241766997599, -0.07439755693787398, 0.7806229915152703, -1.6361101221801828, 0.3612933676555099, 0.12482595946480357, -0.2981010520564141, -1.1086648975166695, -1.566337099606186, -2.443181762657492, -0.5273604933093099, 0.45669568930004684, 0.654786501925435, -1.5833808140787045, -1.5795783709349993, -1.769514163079919, 0.8519362710478503, -0.5145456923759436, -0.6658329416358273, -0.5783158556939685, 0.0, 0.0, 0.0, -0.9515771319482665, 0.0, 0.0, 0.0, 1.586272314063563, 0.0, 0.0, 0.0, -0.7137841974665927, 2.6650916580809128, 1.3278149328695115, -0.02591781782988034, -0.26126512912759736, 0.0, 0.0, 0.0, -0.6556051416269038, 0.0, 0.0, 0.0, -0.9057310042436533, 0.0, 0.0, 0.0, 0.4644207578612779, 1.726303919413762, -1.6266525060408765, -0.9197797596374626, -0.37072029637550874, 0.0, 0.0, 0.0, 0.4964318386666247, 0.0, 0.0, 0.0, -0.3250593261349808, 0.0, 0.0, 0.0]",0.3773984015506133,-1.4665687716777525
