sample,steps,parameters,fidelities,step_sizes
1,0,"[1.8590304897642438, 1.2470282647898234, 1.7415690067659337, 0.11742501854651088, 0.3573169203810773, 0.5146321724000855, 1.346491598618005, 0.5726645120127072, 0.5038664830233659, 0.48616699029222943, 1.3889093691314762, 1.788505787949338, 1.9484639540812516, 0.38267915062958013, 1.4846379507101972, 1.3251442739568298, 1.1287864751699943, 0.5981324356976734, 0.6760127600398902, 1.5398299397676514, 0.0, 0.0, 0.0, 1.350087313273114, 0.0, 0.0, 0.0, 0.15629119956031912, 0.0, 0.0, 0.0, 1.5000368162656443, 1.8526386422433667, 0.7996410830314553, 1.480256881090398, 1.4646131166097478, 0.0, 0.0, 0.0, 0.2047947475100549, 0.0, 0.0, 0.0, 0.09113643330397014, 0.0, 0.0, 0.0, 1.26268827302534, 0.3332861437702437, 0.7387244473961296, 0.10759333050749254, 1.202609977173592, 0.0, 0.0, 0.0, 0.97679607391012, 0.0, 0.0, 0.0, 1.2727287367268996, 0.0, 0.0, 0.0]",0.24666384429389815,0.0
1,1,"[2.7997655857317465, 2.841420320433958, 2.2403044456450534, 2.125973568584525, 0.8486674477485835, 1.3268824067641598, 1.500593709534945, 1.8339260928339678, 0.842208551521432, -0.003723666909794532, 2.9753490373111458, 2.0696889209581486, 3.126304282743476, 1.0095175577670206, 2.9117585029886275, 1.3310862021106837, 2.1039334243716636, 0.7725021885181369, 1.578268458297012, 1.865596023645203, 0.0, 0.0, 0.0, 1.6678095918861955, 0.0, 0.0, 0.0, 1.4081512442779984, 0.0, 0.0, 0.0, 2.7956392668643355, 3.5262154378676698, 1.7706029029459474, 3.376921031795006, 1.648370096786467, 0.0, 0.0, 0.0, 1.7564151713723262, 0.0, 0.0, 0.0, 0.3771904629825226, 0.0, 0.0, 0.0, 1.4940022367913888, 1.5307986827173725, 1.2662089078792933, 0.5446434470845476, 2.464843532938981, 0.0, 0.0, 0.0, 2.7195414853383637, 0.0, 0.0, 0.0, 2.7168986493897074, 0.0, 0.0, 0.0]",0.22633175738338843,1.0
1,2,"[3.2550085149453047, 3.492786131820032, 1.2922679444690681, 0.7822608427922824, 1.6678379549290436, 2.9726199598132923, 3.8567925600908124, 2.896780868628891, 0.40239528551930737, -2.0481796116568782, 2.422545363562021, 2.5462589366982136, 1.5736384057238435, 1.1864823439125571, 0.5654374161680944, -0.5391082021859788, 3.125159856422215, -0.4178492105101672, 2.667416834614925, 1.8551620694166011, 0.0, 0.0, 0.0, -0.8826334415593273, 0.0, 0.0, 0.0, -0.11844392077898425, 0.0, 0.0, 0.0, 2.891805320492503, 2.141555610878709, 1.8875014057403388, 5.0593548412908556, 3.1479521422235157, 0.0, 0.0, 0.0, 1.720078479706306, 0.0, 0.0, 0.0, 0.49577378920164994, 0.0, 0.0, 0.0, -0.8591166924864053, -2.2073440337072743, 0.7225900136809165, -0.0615234066310818, 5.085300769166876, 0.0, 0.0, 0.0, 1.9781738019741857, 0.0, 0.0, 0.0, 3.0933365790531724, 0.0, 0.0, 0.0]",0.3678577538682224,-1.2439236538565897
1,3,"[4.984433357457582, -2.456713838506155, 3.9901592503770718, -0.8065824716871108, 3.3196698970427763, -2.237249520294894, 2.493532932258417, 6.209480616732465, 3.3191531669983796, 7.423064846483569, 3.530606273917555, 1.4897963808584616, 5.304005110166369, 0.8204255694964959, 3.205645210485259, 5.07435577080047, 6.576644422287599, 1.5068300132193446, 8.598793260130588, -2.4594899629226408, 0.0, 0.0, 0.0, 3.737708459678305, 0.0, 0.0, 0.0, -2.0995087792672185, 0.0, 0.0, 0.0, 0.6136823185531601, 0.7402596868779971, -4.839603949863878, 5.436240737485173, 5.2331984306053325, 0.0, 0.0, 0.0, 1.0265662739629557, 0.0, 0.0, 0.0, 1.2190535268864835, 0.0, 0.0, 0.0, -4.61316782000597, -3.289186046465149, -0.21175436922765367, -2.2533205842109747, 6.454777866673028, 0.0, 0.0, 0.0, 5.15930017428483, 0.0, 0.0, 0.0, 8.04369952975587, 0.0, 0.0, 0.0]",0.4278171340848845,-1.3869666290563005
1,4,"[3.396862176447316, -2.9426554659462845, 2.6084447214769457, -2.7653637645044604, 1.880120951195532, -3.1398042817936647, 1.5464839580013767, 5.311263794989136, 2.538203848166854, 6.656744729644592, 2.905666156320607, 0.04118151840067208, 3.788143473028361, 0.2969327497511648, 2.572743891848833, 4.89252753224808, 5.323647965324794, 0.5809196903708044, 7.826381952158016, -3.513716421845097, 0.0, 0.0, 0.0, 3.7337521111583207, 0.0, 0.0, 0.0, -3.202851163457553, 0.0, 0.0, 0.0, -0.15179798477366024, 0.3616845961469916, -5.4332808869582605, 5.275783653476232, 5.112865523961246, 0.0, 0.0, 0.0, -0.43313168382141987, 0.0, 0.0, 0.0, -0.15081391871654404, 0.0, 0.0, 0.0, -4.651808441559137, -4.715455445120218, -1.626378340312928, -3.9180062382961767, 5.883459595052335, 0.0, 0.0, 0.0, 4.180503712558635, 0.0, 0.0, 0.0, 6.759042398341693, 0.0, 0.0, 0.0]",0.4933878798215254,-1.0
1,5,"[2.055437600178302, -3.769795331582786, 1.1120335392912728, -3.3177894655274893, 0.21661406685186835, -4.48919638392791, 0.8778243439301487, 4.719032144462341, 1.992555624971304, 7.398538283481853, 1.032171124402838, -0.1690693829133087, 1.7859676294936442, -0.7688824957767312, 2.626540953060533, 3.851001193028286, 3.8493401780898076, -1.05564089405754, 6.940583906398221, -4.713895829521601, 0.0, 0.0, 0.0, 2.6613108722130208, 0.0, 0.0, 0.0, -3.6966998076600177, 0.0, 0.0, 0.0, -1.5866710988355086, -0.6924249346807567, -7.122723660834435, 5.18517063198753, 4.054401534160796, 0.0, 0.0, 0.0, -1.3506512323770417, 0.0, 0.0, 0.0, -0.8479537059199116, 0.0, 0.0, 0.0, -5.470310996138007, -6.171890368361491, -2.8588312352251313, -4.968145111741286, 4.23409656277214, 0.0, 0.0, 0.0, 3.803161701101236, 0.0, 0.0, 0.0, 5.249260603312532, 0.0, 0.0, 0.0]",0.148919521013371,-1.0
1,6,"[-3.254717571562849, -4.880245800922253, 4.716822434860337, -3.8274841291592923, 1.341672715581738, -6.380406077239327, 0.4346482286399755, 3.8365657915353, -2.248495412576562, 9.097450978011343, 5.7168136459532555, -1.5659344920158607, 0.2763428329596611, -2.579044797942045, 3.3841982618885664, 5.839077657227623, 7.00908034116729, 0.4756663938442618, 6.97592230553589, -8.980505854831712, 0.0, 0.0, 0.0, 5.148441961079879, 0.0, 0.0, 0.0, -2.0171060652681065, 0.0, 0.0, 0.0, -6.424114855340134, 8.065551123326053, -10.337910062605237, 5.124482497580123, 0.535554967538018, 0.0, 0.0, 0.0, -8.256688474099258, 0.0, 0.0, 0.0, -6.098543699066613, 0.0, 0.0, 0.0, -3.456489523719029, -3.6840763835362162, -7.369427399190038, -2.9378742181759008, -3.2202601892815883, 0.0, 0.0, 0.0, 4.79455859766813, 0.0, 0.0, 0.0, 1.286885516574114, 0.0, 0.0, 0.0]",0.3294287708868721,-1.3796352546977269
1,7,"[-10.775483082770055, -7.696140570544127, 3.8822078291011244, -4.212126897234023, 2.169313375359992, -11.891371858026666, -2.6455741015715235, -2.785946942105682, -6.436049972054082, 1.8259743776726856, 7.433352743227879, -1.6330972598101947, 0.34885036399343117, -2.8236287240891427, -2.6774662856908034, 7.812735471776388, 6.131100199162063, -4.697345994866598, 2.0909114057696208, -10.209479911489083, 0.0, 0.0, 0.0, 7.027918352244628, 0.0, 0.0, 0.0, 3.2941113525020036, 0.0, 0.0, 0.0, -10.184244318048904, 4.963593383963504, -17.73235970396625, 6.728665166876455, 4.323421267233815, 0.0, 0.0, 0.0, -9.942112051596634, 0.0, 0.0, 0.0, -5.426613951446482, 0.0, 0.0, 0.0, -5.06326770630765, -3.0181066853068708, -5.348499627873569, -1.9291166178602026, -2.925429998519485, 0.0, 0.0, 0.0, -2.7601278740796555, 0.0, 0.0, 0.0, 0.8361705830110876, 0.0, 0.0, 0.0]",0.35806868159391275,-0.8512519988821693
1,8,"[-8.643199006688729, -6.191829150836611, 4.286160891182341, -4.298515095887809, 2.203313285211741, -10.12328306835049, -1.8257424326956826, -2.0889016733347616, -5.3196559772970256, 1.7903848291898332, 7.816933467768417, -0.5946892407350945, 2.07200577375162, -1.619094244202325, -2.3821704250291256, 8.435095661956908, 7.02317359311083, -4.2580960591685075, 2.9733312326256516, -9.620860272309889, 0.0, 0.0, 0.0, 7.840377742245018, 0.0, 0.0, 0.0, 3.6594346404365075, 0.0, 0.0, 0.0, -9.335108607102379, 6.021466097415431, -16.965967302225966, 8.33168710130376, 6.2359288156867025, 0.0, 0.0, 0.0, -8.36451772361408, 0.0, 0.0, 0.0, -4.847915749658942, 0.0, 0.0, 0.0, -4.216217739631742, -1.3589630657407088, -5.205161648203397, -1.2494423768803185, -1.7476487990072276, 0.0, 0.0, 0.0, -2.548478726348142, 0.0, 0.0, 0.0, 1.3311030504439132, 0.0, 0.0, 0.0]",0.2823197396458322,1.0
1,9,"[-14.595604769868167, -8.237113366898406, -0.47790613389698944, -3.391987450057264, -1.9509230946802791, -10.756901132327517, -7.343075564764649, 1.851999947822688, -2.5509771169173416, -8.517462279012397, -3.5936999980124735, -1.4424165237865152, 7.437149540482252, 6.46286261767405, -12.871099080115329, 10.54151647229666, 4.942070905292337, -0.596981571781841, -0.2606882914780555, -12.196000996877475, 0.0, 0.0, 0.0, 3.9001535788681454, 0.0, 0.0, 0.0, 6.922538093672216, 0.0, 0.0, 0.0, -12.327464363331616, -0.776077877437678, -18.558307148612712, 3.8164331249411596, 12.463372961215372, 0.0, 0.0, 0.0, -7.001566285620617, 0.0, 0.0, 0.0, -6.55188747246487, 0.0, 0.0, 0.0, -9.493085403786953, -5.6683859668883425, -6.0754353024337036, -5.754449139646918, -9.48049201683307, 0.0, 0.0, 0.0, -11.038436156264321, 0.0, 0.0, 0.0, -3.097556383450789, 0.0, 0.0, 0.0]",0.5715399311645912,-0.9212439189857525
