sample,steps,parameters,fidelities,step_sizes
1,0,"[0.3330857842844819, 0.2778491345408798, 0.1174039448531019, 0.39478140708215315, 1.1108181603280702, 0.34287470467353276, 0.5393472121375826, 1.3505752188920792, 0.06345344805643971, 1.3277622685094541, 1.0422036684942841, 1.832382482357703, 1.6617797788467439, 0.3221403952269346, 1.8853080035339813, 1.5611622417964217, 1.286532403465113, 0.33518215072178026, 0.21357735834247116, 1.4272799317815452, 0.0, 0.0, 0.0, 1.2169889286649407, 0.0, 0.0, 0.0, 1.7697395260874473, 0.0, 0.0, 0.0, 0.061638471861442, 1.7207522509192978, 0.1794432313644192, 0.11731663303676698, 1.8327501935711417, 0.0, 0.0, 0.0, 0.6359630875871405, 0.0, 0.0, 0.0, 1.2284403551853456, 0.0, 0.0, 0.0, 0.45546353333683776, 1.1701051606252024, 0.6810478433890297, 0.07387439027490128, 1.2639404451680614, 0.0, 0.0, 0.0, 0.05012558466886752, 0.0, 0.0, 0.0, 0.03978998147116486, 0.0, 0.0, 0.0]",0.19336687188587062,0.0
1,1,"[0.5744008803277552, 0.07188760581230011, -0.3467363166730047, 0.9290677642676793, 0.8079901506188105, 0.7735277448149953, 0.6267567452041745, 1.2750318297608525, 0.7125755705731301, 0.9977188045143458, 2.099999736073203, 1.5353163738460882, 1.5017175792480024, 0.6943364245903063, 1.7357652530630783, 2.222368286475825, 0.7392838179617254, 0.5168452217777033, -0.3567885552057465, 1.84607325206554, 0.0, 0.0, 0.0, 0.859451890501839, 0.0, 0.0, 0.0, 1.7724850716742155, 0.0, 0.0, 0.0, -0.06724696850632755, 1.7368046721601353, 0.47464708750232687, 0.3086234054663876, 1.9591252820203255, 0.0, 0.0, 0.0, 0.6101419850460637, 0.0, 0.0, 0.0, 1.0192325764420267, 0.0, 0.0, 0.0, -0.05113979804670321, 1.0131591890708755, 0.6516446491548992, -0.06889779604907434, 1.6290858156952082, 0.0, 0.0, 0.0, -0.7383260453545775, 0.0, 0.0, 0.0, -0.41075425735037596, 0.0, 0.0, 0.0]",0.5107029886050987,-0.45406685576546274
1,2,"[1.2294551757951906, 0.8332059732922654, 0.961983561938665, 2.061235753114451, 1.4086248373429882, 0.677872281635138, 1.5752871992952198, 3.088590046597362, 2.5192493592237915, 2.6720878087589606, 2.079837668091371, 1.92363218846815, 3.338372258344825, 1.5280745454135296, 2.3585927945355616, 2.7603165218987127, 1.021419049804925, 1.272869074353887, -0.1303878697792956, 3.737871936398154, 0.0, 0.0, 0.0, 2.585616220410233, 0.0, 0.0, 0.0, 2.9398592241644286, 0.0, 0.0, 0.0, 1.6505705810099645, 3.118549204699465, 2.023075613402289, 0.4232503529457448, 2.078636540376683, 0.0, 0.0, 0.0, 1.507252035984986, 0.0, 0.0, 0.0, 1.2616509079351332, 0.0, 0.0, 0.0, 1.0360489952420642, 1.4538093941405554, 2.2433512488374294, 1.2545595565944485, 1.7475361125187177, 0.0, 0.0, 0.0, -0.975620513324464, 0.0, 0.0, 0.0, 1.0943810853753637, 0.0, 0.0, 0.0]",0.32763098767225074,1.0
1,3,"[0.9544769628154902, 0.8691136297762349, 1.1102947439749145, 2.324847543913271, 0.737057690829427, 0.2645821080214508, 1.348018306600841, 3.832718869868308, 2.5874935200058684, 2.3089129300381592, 1.509310344499876, 1.0577955141576776, 4.625801748280351, 1.6594768549866457, 2.1935735453587832, 3.0609122381067504, 1.3996410922759122, 1.1110913812035457, -0.10081680724165963, 2.87108311269056, 0.0, 0.0, 0.0, 3.314527799505238, 0.0, 0.0, 0.0, 2.9343281624947317, 0.0, 0.0, 0.0, 1.6845657174321869, 2.7902509402961293, 1.8839763722525458, -0.23073642189911886, 0.5570984733438775, 0.0, 0.0, 0.0, 2.0501420206461325, 0.0, 0.0, 0.0, 1.2763703869269496, 0.0, 0.0, 0.0, 0.4902658507018124, 2.4659209950736103, 1.9373486589306128, 1.3513112684616928, 2.599627200737273, 0.0, 0.0, 0.0, -1.4803101606722264, 0.0, 0.0, 0.0, 1.370121057755982, 0.0, 0.0, 0.0]",0.5621181151143041,-0.3203430174574719
1,4,"[-0.9017097259701733, -0.4541930648106457, 0.8438253364543751, 1.6880640912053764, -0.004146617009480158, -1.0267209377990094, -0.08411419775714757, 2.085948822722599, 1.7150758756849618, 0.37218774868784177, 0.8611127680276118, 0.09757089778400663, 2.889814185726729, 0.40113601029050927, 1.0955735132548516, 1.3785563749617153, -0.16725493316606932, 1.1060130244820718, -0.34699409545993115, 1.4876760554999702, 0.0, 0.0, 0.0, 3.1042050169087503, 0.0, 0.0, 0.0, 2.3190633430186023, 0.0, 0.0, 0.0, 1.1267908851229795, 2.7088145586764245, 1.2426790066239461, -1.145122857899453, 0.23651607719853474, 0.0, 0.0, 0.0, 0.5812501260686518, 0.0, 0.0, 0.0, -0.04271974205071194, 0.0, 0.0, 0.0, -1.2712154049551985, 1.4746758860903677, 0.6818524438113835, 0.31274126270752145, 1.052384981073026, 0.0, 0.0, 0.0, -3.0745328135958525, 0.0, 0.0, 0.0, 0.926790096898745, 0.0, 0.0, 0.0]",0.30003655371092364,-1.0
1,5,"[-2.6621597559737333, -0.9143887269098205, -0.5209990712563346, 0.46400055322277445, -1.198963542285736, -2.4218701112472774, -1.849207877379743, 1.758955510090988, 1.1752410972653315, -0.8943230568808755, -0.9092324821654347, -1.2828023402777569, 1.6987247948012685, -1.3850484847396327, -0.6785409733266661, 0.055876891671858164, -1.9343193662529237, 0.9507604330150509, -2.179277573166203, 1.4046978603667144, 0.0, 0.0, 0.0, 3.0579741824220035, 0.0, 0.0, 0.0, 0.6776277807205442, 0.0, 0.0, 0.0, 0.2734058666977246, 2.643687631561994, 0.5560115120005891, -2.2251543922135575, -1.261642493953416, 0.0, 0.0, 0.0, -0.2491114930639453, 0.0, 0.0, 0.0, -0.9368576240833676, 0.0, 0.0, 0.0, -2.655301885789428, 0.04703221614429842, 0.13604386610904962, -0.10070495798120394, 0.40803155547441694, 0.0, 0.0, 0.0, -3.1992621350949357, 0.0, 0.0, 0.0, -0.7575723563673946, 0.0, 0.0, 0.0]",0.3854953397840378,-1.0
1,6,"[-0.7609162508116187, -3.430322602261127, 4.099721119068351, -0.41775572781076464, -1.2126394752830079, -2.281346993331084, -1.5067090904316967, 4.825712973658229, -0.15079193203054886, -1.2568821152893606, -0.8866994977755972, -3.1648054050540897, 0.5875704233892911, 1.5247008570986318, -1.0677560736778238, -0.20881894180325117, -2.2055998944740463, 3.01723468369651, -0.6650852417866415, -0.8501345314114568, 0.0, 0.0, 0.0, 3.3230184150498716, 0.0, 0.0, 0.0, 0.27281039406354557, 0.0, 0.0, 0.0, -0.7428568184498996, 2.8781239148113924, -2.691207359482135, -1.6415285754095053, -1.4331845635938725, 0.0, 0.0, 0.0, 0.966220037925134, 0.0, 0.0, 0.0, -0.9539056144560956, 0.0, 0.0, 0.0, -3.0942290842626172, 1.6265135202338563, 0.3584403233923701, -0.855960213667509, 0.701255530802249, 0.0, 0.0, 0.0, -6.134000273945668, 0.0, 0.0, 0.0, 1.1646717101186634, 0.0, 0.0, 0.0]",0.4093258732740255,-1.228406938012354
1,7,"[-0.3751962599164748, -3.7170919931411723, 3.749155366143254, 0.10381425943135492, -0.7459510559853577, -2.3936917429927784, -0.04599754732078987, 5.414039450379264, 0.13571041125516503, -1.6631788292972836, 0.002531011326887267, -2.029208571257426, -0.3533250568961068, 1.1374084660351242, -1.366315511571625, 0.7378231002988729, -3.064844560218934, 3.132536263604734, -0.6448660042541263, -0.8488814603505975, 0.0, 0.0, 0.0, 4.507925287663289, 0.0, 0.0, 0.0, 0.47563092782691085, 0.0, 0.0, 0.0, -0.1873391499051068, 3.5647689165861327, -2.78320225361989, -2.0024217460464095, -1.9328579126341792, 0.0, 0.0, 0.0, 1.5375434317149903, 0.0, 0.0, 0.0, -1.0516411621143504, 0.0, 0.0, 0.0, -2.9251595462930533, 1.095701661051321, 1.4854270285663436, -1.3820015067020173, 1.3836604643259633, 0.0, 0.0, 0.0, -5.807501407675411, 0.0, 0.0, 0.0, 0.19678279185101522, 0.0, 0.0, 0.0]",0.529645041137623,-0.3597974107342735
1,8,"[-1.499798849238169, -4.431063867458372, 2.137506941824472, 0.06216349527543884, -2.6361967932798107, -2.465950868318311, -2.0636998874367447, 4.859324544186228, -0.0901133909900241, -2.540296292602913, -0.20237614710366703, -2.185845441499657, -0.7352718419758917, 0.7038841323875231, -1.86406929481365, 0.3790035505748104, -3.127075271051178, 2.9070565661983214, -1.1426428204170298, -2.2344865054274994, 0.0, 0.0, 0.0, 4.106994172260922, 0.0, 0.0, 0.0, -1.238656814699553, 0.0, 0.0, 0.0, -1.3730340268232628, 2.5658035206985383, -3.6170818767213047, -2.770051052478296, -3.8691217226401475, 0.0, 0.0, 0.0, 1.0456302280457241, 0.0, 0.0, 0.0, -3.006806113175668, 0.0, 0.0, 0.0, -4.600309285735346, 0.35213334044057365, 0.37447579160682753, -3.1201005501633943, 0.09625536906594823, 0.0, 0.0, 0.0, -7.274378898062737, 0.0, 0.0, 0.0, -1.5642464133192244, 0.0, 0.0, 0.0]",0.3202580226909927,-1.0
1,9,"[-7.455551341156126, -4.775585038253819, 4.34399708123334, -1.551869766651126, -3.403201112418114, -2.1616801583711096, -5.264176812296018, -0.6138140682464917, 3.48901174808343, -3.0727204882136525, -0.4553276613995302, 0.6369067401783521, 4.074168589637889, 0.30340032709571724, -4.489702027608246, 2.0401801424980617, 1.626072012452997, 1.7354198428302943, -5.847112165845727, -7.839609023466179, 0.0, 0.0, 0.0, 9.621992100750827, 0.0, 0.0, 0.0, -5.473768241448562, 0.0, 0.0, 0.0, 0.5195582554371403, 3.551989572842909, -2.3402606865455757, -4.237827338940691, -5.7999563760625765, 0.0, 0.0, 0.0, -0.5930851648348521, 0.0, 0.0, 0.0, -1.241951486634954, 0.0, 0.0, 0.0, -9.028145192120064, 0.7894324319217576, 1.4675428604430498, -3.56208615703225, 1.2422944447728623, 0.0, 0.0, 0.0, -4.49046839942652, 0.0, 0.0, 0.0, 1.4042833403253505, 0.0, 0.0, 0.0]",0.5289950301800322,-1.3095286710670018
