sample,steps,parameters,fidelities,step_sizes
1,0,"[-0.9012459873243507, 3.408987370308958, -0.833006241707961, 4.1134391785612605, -0.26301900814148016, -0.8338880889547492, 4.189219324868389, 0.9340254137206483, 0.30617659527154395, 0.989192483913989, 1.0748301843094312, -0.6933577245144713, 2.2839346040124764, 3.146746747137178, 2.5035366207125853, 1.7939112578023586, 1.3170750850401067, 1.9994984159880909, 1.4617744735205815, 0.7138264395638266, 3.8525522918913206, -1.3332613355027787]",0.46433627211845485,0.0
1,1,"[0.09506245792514433, 0.8668958567737464, -0.8603082234069307, 1.8943509789959425, -0.5711685152776607, 0.038294753754978816, 3.076130789841121, 2.4235337686891785, 1.0156948269852693, 1.1527069761210613, 2.8410182867616833, 0.21669846135698778, 2.305784561131639, 3.026275429274823, 0.7482929816856206, 1.0281995375193442, -0.25496157573595, 0.4461009089777691, 2.8047054055344494, 0.4298399617175592, 1.640984546692263, -0.4150246120802445]",0.625793715536509,0.0
1,2,"[-1.2250882015076534, 1.0981130835669441, -1.0070859729559902, 1.8934269305551998, -1.3901783894728263, 1.57488195191862, 3.201341904344713, 3.0820707894554693, 1.653046404569056, 1.8019500658618424, 1.1397701013903778, -0.784535394788293, 1.282317068178537, 1.6160177558900273, -0.4301526342916712, 1.0571563208366994, 0.00956226236573527, 1.0524942290585366, 2.9421837418080554, 0.9022248170662815, 0.7168371573022138, 1.278024009808016]",0.7214778348262921,0.0
1,3,"[-1.1551982051474265, 1.5751659413253676, -2.4535404874079028, 1.6491608399561033, -0.7703869955392446, 2.302478060304634, 3.2417279323298795, 2.9254408039147517, 1.6238658975124007, 1.7267562246985562, 2.496934234311182, 0.7304308021163854, 2.1310121106711173, 2.4236416245678543, -0.6596708855500263, 1.3275993995836186, -0.6404077798275449, 0.9315380434965147, 2.6488847517267002, 1.752278780389951, 0.7587835851295543, 1.6853693339849514]",0.9852591268938372,0.0
1,4,"[-2.360640851074824, 1.6389337494509262, -2.2279120236645418, 1.1865119863308395, 0.3528368544523946, 2.150442676675881, 3.0928799334338333, 2.1384133476409475, 2.6010698972250728, 1.479088445270399, 4.427362276750253, 0.7919578832072277, 2.3997932296236213, 3.1736712298911165, 0.4411185780502864, 1.5070698630441546, -1.1266118062342962, 0.22636757794847767, 2.648161127112227, 2.9469607630745567, 1.221335757250762, 2.2489371564968277]",0.8943455522629109,0.0
1,5,"[-2.2852663603673466, 1.4296913844490498, -2.308182258028557, 1.1908644670147788, 0.5100136021896096, 1.7456604433449907, 2.829817442168271, 2.157282473882777, 2.7241640673554874, 1.2771519140964274, 4.4995799084914125, 0.669757483457603, 2.3915882121392005, 2.857146997555799, 0.3578376292119033, 1.191141907312639, -0.9809096645754327, -0.4686121872823801, 2.5278060184567783, 2.7104210295425646, 0.9549652911548742, 2.19264552088976]",0.8500907991505673,0.0
1,6,"[-2.27876964588769, 1.4475738997084528, -2.295209063124855, 0.7097505145616454, 0.2980596071272636, 1.5640994889451323, 2.7166591817982897, 2.0886330363983223, 3.336739628213979, 1.320924182950459, 4.240300883499323, 0.5996358825606096, 2.20226815096415, 2.727585378681882, 0.08055945310070223, 1.542155851079418, -0.8734722202811687, -0.2764023169764365, 2.5667628081820957, 2.3715784446216768, 0.9088185742154989, 2.2378862622757443]",0.39545626130115186,0.0
1,7,"[-2.5250709258978508, 1.3924832911383989, -2.535939064018141, 1.0174425621115748, 0.34513188367574577, 1.3615520711190519, 2.984174798627847, 2.199676825067198, 3.6492341577502336, 1.0001540302546852, 4.640489725154754, 0.6380313840192475, 2.43119960458433, 2.84104357896992, 0.10707451238546016, 1.2223890657349383, -0.9053906560061196, -0.37907214785566423, 2.5947217788806527, 2.604329304265826, 0.7713054672269657, 2.32430409320873]",0.9528948735596345,0.0
1,8,"[-2.6356680348235764, 1.4527473635849957, -2.562532839502225, 0.9838327226400293, 0.41901915337509194, 1.4166991491238732, 3.1099928929124547, 2.2141761246206713, 3.661261294465612, 0.9982622261553239, 4.70237411114273, 0.5281864375835856, 2.4498507010036383, 2.9454262046021458, 0.1763199867085507, 1.1861672296557575, -1.067526450955248, -0.39377133959296473, 2.7478768057242733, 2.6663994337640564, 0.5931733149786114, 2.292962767284031]",0.9897964275115825,0.0
1,9,"[-2.478618296079695, 1.3345878925973154, -2.619855198302697, 0.9919906415169367, 0.36622732390999063, 1.4122266434422444, 3.0469184708205233, 2.008182658626541, 3.9108986274324717, 0.8881444607955, 4.835561726850486, 0.7618849111109328, 2.4153021096139504, 2.6971186651197536, 0.24733245927023634, 1.2453296618431626, -1.1542398938395744, -0.6876475853745536, 2.7259883050173417, 2.3493706041157663, 0.041674367393228454, 2.364036505457055]",0.9730303584985185,0.0
