sample,steps,parameters,fidelities,step_sizes
1,0,"[0.6675601289966115, -0.76117528305595, 0.7826103609802766, 0.7993712903539381, 0.00797898496686189, 0.5052816965785816, -0.21825943141873605, -0.834521303922388, 0.27480226285556353, 0.329777982107365, 0.874207754784972, 0.86108848105429, 0.4046740254991099, 0.6595268543872215, 0.010311715585507697, 0.27478937502545975, -0.5517507341429777, 0.9220290473154307, 0.6630828529395343, -0.6497278336932095, 0.6109028800244809, -0.6972366301326816, -0.4546878594729413, 0.2257522592356842, -0.45219212944565657, 0.6894523935798107, -0.6248284824874244, 0.18845848223507145, -0.29765598244296654, -0.931082004215027, -0.5437933791859031, 0.08305417215667399, 0.7240286700872347, -0.7446040324058698, -0.20604203277957223, 0.20853162882570464]",0.13560926914215088,0.0
1,1,"[0.56756824, -0.6611832, 0.88260853, 0.69937694, -0.092018895, 0.6052783, -0.31825507, -0.7345515, 0.37479973, 0.22978446, 0.97419995, 0.76109684, 0.3046797, 0.75951445, 0.11028776, 0.37478745, -0.65171176, 1.0220262, 0.56310236, -0.7497019, 0.71089995, -0.79723144, -0.35469532, 0.12575819, -0.55219007, 0.5894559, -0.72482556, 0.08847622, -0.3976305, -0.831115, -0.4438042, -0.016941667, 0.8239874, -0.6446102, -0.30602825, 0.30852848]",0.13560926914215088,0.0
1,2,"[0.50191206, -0.6210747, 1.016975, 0.5883328, -0.20810969, 0.7369453, -0.4514956, -0.6014413, 0.5035996, 0.21617632, 1.0932515, 0.7862614, 0.23298985, 0.88629305, 0.2230987, 0.50633967, -0.7787713, 1.1564368, 0.4300449, -0.7730426, 0.8442342, -0.92957556, -0.27574235, 0.021042705, -0.6864486, 0.45562643, -0.8592147, 0.07830991, -0.5077663, -0.71584725, -0.31575757, -0.14760166, 0.9398688, -0.51021135, -0.3047522, 0.4403161]",0.3551730513572693,0.0
1,3,"[0.5549477, -0.6815234, 1.1703738, 0.5889903, -0.28315172, 0.8706322, -0.6071305, -0.62255925, 0.61643666, 0.28245205, 1.194793, 0.8853957, 0.26815313, 0.87653524, 0.3654443, 0.631718, -0.9215567, 1.3054924, 0.28141782, -0.69146496, 1.0000659, -1.0771691, -0.27752733, -0.02127476, -0.8388675, 0.29905516, -1.0043252, 0.1178962, -0.6480845, -0.5747304, -0.16455917, -0.2889688, 1.0768129, -0.35334104, -0.21800026, 0.59541404]",0.5816426277160645,0.0
1,4,"[0.6529284, -0.76285315, 1.3031721, 0.6431645, -0.29434693, 0.9493905, -0.76619744, -0.6954113, 0.6565501, 0.34795982, 1.188052, 1.0037103, 0.33848494, 0.7883448, 0.4526829, 0.7205756, -0.8849178, 1.4087964, 0.120516285, -0.58578926, 1.1612647, -1.1443619, -0.24595213, -0.035125382, -0.9805695, 0.14139815, -1.1038699, 0.16564259, -0.8013152, -0.41733006, 0.002221331, -0.42045152, 1.0517402, -0.18254127, -0.09306522, 0.7593157]",0.7276611328125,0.0
1,5,"[0.73806417, -0.78412545, 1.3670233, 0.71143746, -0.2634691, 0.9601841, -0.8908685, -0.731982, 0.6327826, 0.32684815, 1.1114264, 1.0696285, 0.36036474, 0.66530997, 0.41933298, 0.7656071, -0.7868823, 1.4379381, 0.011399284, -0.60964084, 1.3033103, -1.1016792, -0.15544908, -0.04905007, -1.0798576, 0.03238918, -1.1318489, 0.23630473, -0.9250537, -0.31142426, 0.14518988, -0.5136987, 0.95985, -0.024395257, 0.04418397, 0.9016586]",0.7070602178573608,0.0
1,6,"[0.7726115, -0.7339051, 1.3720949, 0.7540701, -0.21411851, 0.93970454, -0.9506407, -0.7024675, 0.5680796, 0.25071824, 1.0035087, 1.0660826, 0.31744957, 0.5299141, 0.33074105, 0.76066864, -0.65931356, 1.4197284, -0.01965779, -0.698085, 1.4028902, -1.0074161, -0.03852073, -0.06473169, -1.12898, -0.012971919, -1.1133897, 0.2842982, -0.99496794, -0.2837613, 0.22610894, -0.5544662, 0.83886546, 0.09581982, 0.13197231, 0.99930316]",0.6668397784233093,0.0
1,7,"[0.7669914, -0.64476013, 1.3377017, 0.74514383, -0.16268441, 0.9164107, -0.9578505, -0.6462652, 0.47693914, 0.14973721, 0.8970518, 1.0112513, 0.23669519, 0.4085904, 0.21156469, 0.71174526, -0.526269, 1.3743566, 0.010512352, -0.81797373, 1.4478159, -0.88584197, 0.07523697, -0.083826505, -1.1383437, -0.0054532676, -1.0694592, 0.29227823, -1.0075405, -0.31206104, 0.24135381, -0.5582027, 0.7124606, 0.17452776, 0.13805456, 1.0469829]",0.6840192675590515,0.0
1,8,"[0.743498, -0.55021805, 1.2791567, 0.6967385, -0.11947195, 0.9094685, -0.93719625, -0.62251246, 0.37023002, 0.056965142, 0.82305187, 0.9233761, 0.14269048, 0.31652084, 0.07627541, 0.6316199, -0.42659146, 1.3149127, 0.07785803, -0.93875515, 1.4432555, -0.7560507, 0.14825036, -0.097953305, -1.1249424, 0.03865507, -1.0181715, 0.3032551, -0.9723884, -0.37621462, 0.20792812, -0.55151236, 0.60974777, 0.21577203, 0.08702738, 1.056202]",0.7402719259262085,0.0
1,9,"[0.7286772, -0.49622947, 1.2113222, 0.63762474, -0.088948965, 0.9274621, -0.90738946, -0.66574955, 0.25869465, 0.011712164, 0.7904848, 0.82180816, 0.06376959, 0.25044036, -0.059083, 0.5333572, -0.3864585, 1.2537029, 0.15182671, -1.0108739, 1.4043049, -0.64146477, 0.15164709, -0.09462447, -1.1067668, 0.09957222, -0.97642595, 0.35102665, -0.90533835, -0.45940754, 0.15014388, -0.55945104, 0.56538993, 0.22807938, 0.00091165304, 1.0459113]",0.7855003476142883,0.0
