phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,max_fidelity,seed
-1.9260987,-0.040657356,-0.75652444,-0.7717132,-0.51328564,-0.014060356,-0.4665395,-1.2099527,0.026679268,1.0139554,-0.6797108,0.7055938,-0.48225433,-0.7043785,0.27184898,0.1003468,0.01229852,-0.0037444625,-0.003272316,-0.023545746,0.023212494,-0.09812595,-0.077496976,0.014923636,-0.022481268,0.031434346,0.03986712,-0.07172407,0.031362083,-1.9581372,-0.7266479,0.23507538,-0.06599828,0.41975993,-0.93188673,1.414061,0.999129056930542,256
0.646512,0.23024169,-0.1783188,-0.1611434,-0.2924013,-0.68016857,0.35332897,-0.12528047,-0.6710502,1.3059396,0.007726387,-1.4124454,0.4095579,0.061817966,-0.23294811,-0.004766151,-0.001384317,-0.0148732,0.005289042,-0.024260966,-0.004041756,-0.005929954,0.015361898,0.016351221,0.0072604376,-0.0047290185,0.01314781,0.01069177,0.020797493,-0.3950609,-0.4128962,-0.120403826,0.57825536,-1.2376258,-0.48067042,-0.65323806,0.9992037415504456,512
0.3365197,0.36753145,-0.519589,0.9043932,-0.35545683,1.1220795,-0.117681034,0.69146645,1.0919018,-0.5719296,-0.33754364,0.85928094,-0.10146478,-0.33851722,0.14695601,0.014203109,-0.042586382,-0.0057314066,0.0329575,-0.009484032,-0.0062956326,0.069582306,-0.0048884493,-0.009861212,-0.012728185,0.010168891,0.028531162,0.023226714,-0.012794528,0.37985834,-0.5407856,-0.47615767,0.064696796,0.038831003,-0.15833247,1.4277885,0.9990341663360596,768
-0.10102993,-0.23656172,-0.9747247,0.27814537,-0.5003211,-0.2106717,-0.0047885533,-1.154683,-0.21729979,-0.28582564,-0.5899853,-0.66070205,-0.01786011,-0.54456484,-1.5787505,-0.049016915,0.1072849,-0.29823443,-0.0537335,0.12922321,-0.30152148,-0.10986317,0.043099705,-0.073012955,0.2717142,0.040991608,-0.035856977,0.29167747,0.08039422,1.183493,-0.78841114,2.371012,0.22030923,-0.4173242,1.4724414,0.5084917,0.9990068078041076,1024
0.4198603,-0.23970623,-0.56774867,-0.41986018,1.2721092,0.23303618,0.55195034,0.2397062,0.233036,1.5472414,-0.315119,0.5677487,0.5519504,-0.31511903,0.93392086,-5.7441223e-08,0.33331364,-0.1902951,-0.45071772,0.33331376,-0.19029519,-0.4507177,5.680652e-08,0.7887993,-0.45034063,-1.0666401,0.78879935,-0.45034057,-1.06664,0.7853982,-0.41986012,0.2397063,0.56774867,0.4198602,-0.2397063,-0.5677488,0.9265373945236206,1280
1.1688119,-0.5034705,0.19540544,-0.47278866,-0.67258793,0.09104821,0.5884669,0.7636236,0.061211858,-1.0017271,0.17072439,0.85818654,0.54367095,0.24248119,-0.27435362,0.03803806,0.59535307,1.3629427,-0.6092872,0.57872856,1.2818551,-0.7664935,-0.0212207,0.6641059,0.92915964,-0.72909945,0.6830762,0.97237116,-0.6176542,-0.78161323,0.08186245,-0.85980135,-1.5238651,-1.4420503,0.32442462,-0.83719724,0.9991045594215392,1536
0.091884635,0.35116196,0.14985043,0.09188451,1.2210959,0.16433127,0.07012465,0.35116178,0.16433139,1.8061337,0.26800042,0.14985032,0.07012464,0.26800027,1.2924603,1.2321017e-07,-0.5771214,0.4248239,-0.6416629,-0.5771211,0.42482382,-0.64166296,9.036695e-08,0.7359011,0.07008646,-0.615478,0.7359008,0.070086345,-0.615478,1.1780972,-0.18376918,-0.7023237,-0.2997008,-0.1837692,-0.70232385,-0.29970077,0.9238797426223756,1792
-0.2651305,-1.184132,0.8196829,0.56577545,0.59666425,-0.07213089,-0.94671607,-0.9861008,-0.040676497,0.29802382,0.011601197,1.3790132,-0.9065853,0.0011840925,1.4821988,-0.006744554,0.02242161,0.055638354,-0.02649248,0.049097933,0.05404175,0.011243692,-0.014672169,-0.007094468,0.025888868,-0.042253893,0.0014234784,0.024111561,-0.025041886,-1.1800587,0.50038016,1.2255388,-0.68631864,1.3759062,1.3854796,-0.13098809,0.9991838335990906,2048
0.17624149,-0.29512963,0.18986772,0.17624177,1.0199043,0.26490596,-0.17042395,-0.29513004,0.26490593,0.73449236,0.28538743,0.18986806,-0.17042388,0.28538743,0.99449694,3.0729723e-08,-0.1703804,0.43814868,0.8392089,-0.17038047,0.4381489,0.83920926,9.852914e-08,0.8425432,0.45901126,-0.06859123,0.84254354,0.4590116,-0.06859128,1.1780971,0.35248303,-0.5902594,0.37973586,0.35248345,-0.59026,0.3797361,0.9238796830177308,2304
0.1793932,-0.9943363,-0.62994766,0.15552641,1.0782827,0.64332867,0.42042992,-0.964952,0.6675018,-0.20938176,-0.539992,-0.6319123,0.32707563,-0.5786694,1.1017323,-0.011100577,-0.09017217,-0.36083564,-1.1486202,-0.16312972,-0.38012022,-1.1012851,0.0138364835,-0.6259761,-0.76128966,-0.21813595,-0.5993185,-0.7446891,-0.17700209,1.5842346,0.4534264,0.32684585,0.6995669,0.43237132,0.4020177,0.6985524,0.9990607500076294,2560
