phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,max_fidelity,seed
-1.3087399,0.3341268,0.38497245,-0.18881814,-0.19941413,0.05796683,1.3399345,0.013401615,0.09683016,-1.320964,-0.026409118,2.143621,0.43802688,0.09549585,0.17809273,-1.0636773,-1.2196027,-0.021738146,0.37511793,0.3247315,-0.048660487,0.12255083,0.97207737,1.1080513,-0.39318833,0.0668769,0.008350844,0.3053479,-0.107901156,-0.72355205,0.021217681,0.29225293,0.2745463,0.0037141081,-0.06237027,0.8305468,0.9990365505218506,256
-0.47350925,-0.37240064,0.0823153,-0.63573164,-0.29025376,-0.1320856,0.26437265,-0.8693491,-0.5253386,-0.23286639,-0.1632843,0.069400035,0.6563825,-0.34850797,0.025031358,0.31483307,2.3923213,-0.5248175,0.030995823,-0.52908325,-0.9615155,-2.0436072,-0.077739835,-0.2889557,-0.038605947,-0.5350353,0.9191911,-0.5180488,0.23262864,-1.004897,1.7008361,-0.09107591,0.07569844,-0.33760214,-0.30815557,-1.0252919,0.999002993106842,512
0.39477268,-0.008586388,-0.0026070352,0.35091978,0.40133086,-0.014225621,0.0614457,0.96198404,0.990047,-0.05736601,-0.014986862,0.42955327,-0.34956428,-0.0030813017,0.0027571872,0.02595927,-0.0039768675,0.011414313,-0.006941678,-0.015674096,-0.004068574,0.05200387,0.17027014,-0.18753798,0.034839127,0.0019396171,-0.04475399,0.00013703166,0.38066548,0.37281337,-0.36561853,0.028725555,-0.0034746628,-0.06642115,-0.05753993,2.306473,0.999106228351593,768
0.49472478,0.06402313,-0.18568246,-0.07571938,1.7750257,0.6448509,-1.1034083,0.23617132,-0.20980048,1.0247849,0.6790052,0.6577301,0.5494607,-1.4071845,-0.292925,0.016965015,-0.07007325,0.06620306,0.042014528,-0.23802713,0.17360057,0.1000666,0.02378489,0.14701898,-0.044927593,0.035199966,-0.1563286,-0.30723003,-0.10953897,0.3967573,-2.1345787,1.5276929,0.15262185,-1.9052243,0.42058313,0.3911699,0.99913889169693,1024
0.809067,-0.028383547,0.06622126,0.038753,-0.047958467,0.090881296,0.21607077,0.087676115,-0.12257086,-0.16332208,-0.03898958,0.38512665,-2.0263069,-1.2471464,0.886462,0.010851795,0.0025665453,0.13541146,0.20104781,-0.0044291224,0.03499322,-0.0038329363,-0.07002701,0.096687965,-0.08001887,0.064223535,-0.024180498,-0.05693289,-0.21932027,0.39594182,-1.8469892,1.1801431,-0.8326074,0.1424637,0.25197813,-0.43394932,0.999047577381134,1280
0.8377969,0.17594457,-0.15380284,-0.020133575,-0.0053879838,0.33168882,-0.055060707,0.084122196,0.26893476,0.02667132,-0.07686198,0.3891189,-1.7085592,0.05442813,1.311553,0.06274791,0.054825146,0.48438552,-0.046272412,0.10557562,-0.0023652143,-0.02977331,-0.18726839,-0.5173574,0.033392042,0.40237683,0.038178056,0.034824442,0.21327017,0.3763151,-2.3154118,0.13208556,-1.4938955,0.10998195,-0.02206072,-3.3866704,0.9990161657333374,1536
0.38480642,0.05622328,-0.12671423,-0.0125180045,-0.022170922,0.028871909,-0.016705599,-0.018488673,-0.05701067,-0.0071376115,0.024342155,0.38509303,-0.43506387,0.16672105,-0.3854408,0.08262607,0.5622278,-0.29228488,-0.18251494,0.065459155,-0.0113686295,-0.5323324,0.06591982,1.3936306,0.18984467,-0.07664039,-0.0116265975,0.062253274,-1.3524461,0.8107106,-2.0475733,-0.07357394,0.15393518,0.018069984,0.04272882,-1.8155155,0.9990087151527404,1792
0.90127814,0.21110898,0.3013285,-0.03571712,-0.289907,0.0137166865,-0.4538773,-0.015636586,-0.18087225,0.4668754,-0.031713627,0.38693517,-1.7074246,0.32969424,1.839447,0.051571347,-0.3437878,-0.5150037,1.2649195,0.097469315,-0.1323778,0.34524253,0.42720592,-0.9307764,-1.3231317,-0.54910135,0.112799436,0.13321978,1.3356829,0.21189238,1.438851,-0.16030735,-1.5699463,0.3019465,0.19403398,-0.9811443,0.9990546107292176,2048
-1.1908697,-0.6663979,0.95241296,0.5204941,1.0681584,-0.0036716966,0.0021430186,0.5531901,1.12997,0.0038758952,0.009826194,-0.1986122,1.1789833,-0.012335504,0.015521294,0.013337605,0.0143406615,0.27488685,0.20043153,-0.072623946,0.06967769,0.0013121429,0.77370614,0.7253782,-0.2413022,0.33636236,-0.04918923,-0.0550292,0.081627056,1.7589709,0.96443886,-0.66008586,0.95096284,-0.54355305,-0.57226914,0.18416025,0.999008059501648,2304
0.876253,-0.9386803,0.006689587,0.5838789,-0.28158772,0.27434507,0.7586552,-1.4902736,1.0015465,-0.78241104,0.30663317,-0.32063445,0.58173233,-0.94711846,0.067250915,-0.065935984,-0.26560184,-0.71812683,0.43177462,0.027215,0.24875216,0.19097231,0.026458807,-0.20528945,-0.4015197,-0.6964045,-0.27620324,0.169036,0.11603857,-0.4628968,0.66921616,-0.042223837,-0.057556484,0.8844558,-2.4543817,0.007355907,0.9990857243537904,2560
-0.4695609,1.0995835,0.832694,0.39186975,0.80468833,0.047746483,-0.026089063,0.59657675,1.2200159,0.05943377,0.038065296,0.6754958,-0.17863962,-0.034061015,-0.005845575,0.002884537,-0.010602235,-0.005000964,-0.005283421,-0.023705471,0.0022913744,0.007839302,-0.017488804,0.01864056,0.02141294,0.043872304,-0.016679449,-0.008723716,-0.031348348,-0.39426243,0.3159439,1.1258502,0.8238204,-0.4005389,-0.59475493,-0.697885,0.9990013837814332,2816
-0.39326808,0.009323771,-0.009555251,-0.031616315,0.061483257,0.001720292,-0.018926216,0.13782275,-0.3226159,0.00991438,-0.018365813,-0.37574053,0.32111055,-0.021799231,0.043231517,0.18111633,1.019049,0.022823235,0.058580894,0.123630844,0.22206758,-0.82802147,0.2259262,1.166354,-0.054239478,0.027325893,-0.18240838,0.18819065,-0.93143517,-0.77228063,-0.6480086,0.0077188592,-0.03456082,-0.0832431,0.42560026,-1.6053364,0.9990450143814088,3072
-0.30681235,0.27765357,0.1767115,0.20761508,0.939921,-0.43558472,0.121956706,0.28144222,1.1331404,-0.19199133,-0.39585155,-0.80765134,-0.80512565,-0.3553065,-0.22532018,-0.11843668,-0.25958312,0.06445844,0.098085806,-0.037490465,-0.31563032,0.050747592,0.09259657,0.19996166,-0.11572861,0.022474138,0.31337947,0.02460872,-0.055821337,-0.3749442,-2.4708872,0.70014423,0.39795583,-0.71512365,-0.85063297,-1.7473234,0.9990845322608948,3328
-0.6559812,0.5029592,-0.81164765,1.1650519,0.32166943,0.047624692,-0.21844636,1.0845767,0.18798113,0.13084725,-0.030212788,-0.83447915,-0.17920649,-0.7154621,0.961518,0.026032468,0.017417522,0.017013792,-0.021549892,-0.027397385,-0.009651252,0.03675059,0.009842645,-0.00950036,0.0048117936,0.034733832,0.01441003,-0.045199912,-0.0062467745,0.3924468,1.1187361,1.1929275,-1.7761221,0.8335977,0.88658404,1.464898,0.999083399772644,3584
